a. Senior Data and Business Analyst,$31K-$59K (Glassdoor est.),4,"Connor Group
4.0","Salt Lake City, UT","Santa Clara, CA",201 to 500 employees,Accounting,Accounting & Legal,$25 to $50 million (USD)
Fund Data Analyst,$31K-$59K (Glassdoor est.),3.5,"Vivint Solar
3.5","Lehi, UT","Lehi, UT",1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
Sr Python Data Analyst(no c2c) contract w2 only,$31K-$59K (Glassdoor est.),2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT","Farmington Hills, MI",51 to 200 employees,IT Services,Information Technology,$5 to $10 million (USD)
TX Healthcare Data/Reporting Analyst,$31K-$59K (Glassdoor est.),4.2,"Abacus Service Corporation
4.2","Salt Lake City, UT","Southfield, MI",501 to 1000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,$47K-$81K (Glassdoor est.),3.5,"Robert Half
3.5","Reedley, CA","Menlo Park, CA",10000+ employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
"Data Analyst, District Office - Accountability Office",$47K-$81K (Glassdoor est.),3.7,"TCOE
3.7","Visalia, CA","Springville, CA",1 to 50 employees,Preschool & Child Care,Education,$1 to $5 million (USD)
Data Analyst (Kings County),$47K-$81K (Glassdoor est.),3.3,"Public Health Foundation Enterprises, In
3.3","Hanford, CA","City of Industry, CA",1001 to 5000 employees,Social Assistance,Non-Profit,$50 to $100 million (USD)
Tactical Data Link (TDL) Analyst,$43K-$69K (Glassdoor est.),4.3,"USfalcon
4.3","Hampton, VA","Cary, NC",201 to 500 employees,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),2.5,"Hampton University
2.5","Hampton, VA","Hampton, VA",1001 to 5000 employees,Colleges & Universities,Education,$100 to $500 million (USD)
Data Science Analyst,$43K-$69K (Glassdoor est.),2.7,"Collins Consulting Inc
2.7","Norfolk, VA","Schaumburg, IL",201 to 500 employees,Consulting,Business Services,$25 to $50 million (USD)
Junior Data Analyst,$43K-$69K (Glassdoor est.),2.7,"Patient Advocate Foundation
2.7","Hampton, VA","Hampton, VA",51 to 200 employees,Social Assistance,Non-Profit,$50 to $100 million (USD)
Junior Data Analyst,$43K-$69K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Hampton, VA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Jr Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA","Charleston, SC",201 to 500 employees,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Data Science Analyst,$43K-$69K (Glassdoor est.),3,"NewGen Technologies
3.0","Norfolk, VA","Duluth, GA",1 to 50 employees,-1,-1,Less than $1 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),1,"Bluemont Technology & Research, Inc.
1.0","Norfolk, VA","Mc Lean, VA",1 to 50 employees,-1,-1,$1 to $5 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),3.5,"ForKids, inc
3.5","Norfolk, VA","Norfolk, VA",51 to 200 employees,Social Assistance,Non-Profit,$5 to $10 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Hampton, VA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA","Charleston, SC",201 to 500 employees,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Data Analyst,$43K-$69K (Glassdoor est.),3.4,"Dunhill Professional Search
3.4","Chesapeake, VA","Wilmington, NC",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Finance Data Analytics Analyst,$43K-$69K (Glassdoor est.),3.1,"Smithfield
3.1","Smithfield, VA","Smithfield, VA",10000+ employees,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Business Intelligence/Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),3.8,"Booz Allen Hamilton
3.8","Suffolk, VA","Mc Lean, VA",10000+ employees,Consulting,Business Services,$5 to $10 billion (USD)
Research & Data Analyst,$43K-$69K (Glassdoor est.),1,"EVMS
1.0","Norfolk, VA","Chennai, India",501 to 1000 employees,Vehicle Dealers,Retail,Unknown / Non-Applicable
Metrics & Data Analyst,$43K-$69K (Glassdoor est.),3.5,"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA","San Diego, CA",501 to 1000 employees,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$100 to $500 million (USD)
Tactical Data Link (TDL) Analyst-,$43K-$69K (Glassdoor est.),3.8,"Oasis Systems
3.8","Hampton, VA","Burlington, MA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Data Analyst- Secret Clearance-,$43K-$69K (Glassdoor est.),5,"Counter Threat Solutions
5.0","Norfolk, VA","Reston, VA",51 to 200 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Analyst Junior,$43K-$69K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Hampton, VA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
HQ Data Analyst,$43K-$69K (Glassdoor est.),3,"ITA International
3.0","Newport News, VA","Yorktown, VA",201 to 500 employees,Accounting,Accounting & Legal,$10 to $25 million (USD)
USMTF Data Analyst,$43K-$69K (Glassdoor est.),3.8,"Oasis Systems
3.8","Hampton, VA","Burlington, MA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Mid Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA","Charleston, SC",201 to 500 employees,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Product Data Business Analyst,$43K-$69K (Glassdoor est.),-1,Ferguson Experienced,"Newport News, VA",-1,-1,-1,-1,-1
Retail Data Quality Analyst,$43K-$69K (Glassdoor est.),3.5,"Liberty Source
3.5","Hampton, VA","Fort Monroe, VA",51 to 200 employees,Staffing & Outsourcing,Business Services,$5 to $10 million (USD)
USMTF Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),3.8,"Oasis Systems, LLC
3.8","Hampton, VA","Burlington, MA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Data Strategy Analyst (SDSA),$43K-$69K (Glassdoor est.),3.2,"National Capitol Contracting (NCC)
3.2","Norfolk, VA","Mc Lean, VA",51 to 200 employees,Telecommunications Services,Telecommunications,$10 to $25 million (USD)
Data Analyst - Va Beach - VA with Security Clearance,$43K-$69K (Glassdoor est.),3.1,"Occam Solutions Inc
3.1","Virginia Beach, VA","Herndon, VA",1 to 50 employees,Consulting,Business Services,$5 to $10 million (USD)
Configuration and Data Management (C&DM) Analyst,$43K-$69K (Glassdoor est.),3.5,"Analytical Mechanics Associates
3.5","Hampton, VA","Hampton, VA",201 to 500 employees,Consulting,Business Services,$10 to $25 million (USD)
Jr Management Analyst (Data Management),$43K-$69K (Glassdoor est.),3.2,"GStek, Inc.
3.2","Yorktown, VA","Chesapeake, VA",201 to 500 employees,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD)
Senior Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA","Charleston, SC",201 to 500 employees,Architectural & Engineering Services,Business Services,$10 to $25 million (USD)
Tactical Data Link (TDL) Analyst,$49K-$112K (Glassdoor est.),3.8,"Oasis Systems
3.8","Hampton, VA","Burlington, MA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),3.7,"CBRE
3.7","Chesapeake, VA","Los Angeles, CA",10000+ employees,Real Estate,Real Estate,Unknown / Non-Applicable
Acoustics Data Analyst/Flight Test Engineer,$49K-$112K (Glassdoor est.),3.5,"Analytical Mechanics Associates
3.5","Hampton, VA","Hampton, VA",201 to 500 employees,Consulting,Business Services,$10 to $25 million (USD)
Senior Data Analyst,$49K-$112K (Glassdoor est.),1,"Bluemont Technology & Research, Inc.
1.0","Norfolk, VA","Mc Lean, VA",1 to 50 employees,-1,-1,$1 to $5 million (USD)
Senior Data Analyst- Secret Clearance,$49K-$112K (Glassdoor est.),5,"Counter Threat Solutions
5.0","Norfolk, VA","Reston, VA",51 to 200 employees,Consulting,Business Services,Unknown / Non-Applicable
Senior Data Management Analyst (SDMA),$49K-$112K (Glassdoor est.),3.2,"National Capitol Contracting (NCC)
3.2","Norfolk, VA","Mc Lean, VA",51 to 200 employees,Telecommunications Services,Telecommunications,$10 to $25 million (USD)
Data Analyst - Senior Consultant,$49K-$112K (Glassdoor est.),3.4,"Guidehouse
3.4","Norfolk, VA","Washington, DC",5001 to 10000 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Warehouse Programmer/Analyst,$49K-$112K (Glassdoor est.),3.1,"AXSEUM Inc
3.1","Fort Eustis, VA","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Data Analyst (Navy) - Mid and Junior Level,$49K-$112K (Glassdoor est.),-1,"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1,-1
"Data Analyst - Senior Consultant - Norfolk, VA with Security Clearance",$49K-$112K (Glassdoor est.),3.4,"Guidehouse
3.4","Norfolk, VA","Washington, DC",5001 to 10000 employees,Consulting,Business Services,Unknown / Non-Applicable
Program Analyst - AIS/Maintenance Data System Coordinator,$49K-$112K (Glassdoor est.),3.5,"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA","San Diego, CA",501 to 1000 employees,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$100 to $500 million (USD)
MSC Logistics Data Analyst,$49K-$112K (Glassdoor est.),3.6,"CACI International
3.6","Norfolk, VA","Arlington, VA",10000+ employees,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
Data Analyst (Navy) - Mid Level,$49K-$112K (Glassdoor est.),-1,"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1,-1
Business Intelligence & Data Analyst,$49K-$112K (Glassdoor est.),3.7,"PROSOFT
3.7","Norfolk, VA","Virginia Beach, VA",201 to 500 employees,IT Services,Information Technology,Unknown / Non-Applicable
Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),3.6,"FacilitySource
3.6","Chesapeake, VA","Phoenix, AZ",1001 to 5000 employees,Building & Personnel Services,Business Services,$100 to $500 million (USD)
Senior Data Analyst (Navy),$49K-$112K (Glassdoor est.),-1,"Tamayo Federal Solutions, LLC","Portsmouth, VA",-1,-1,-1,-1,-1
NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,$49K-$112K (Glassdoor est.),3.3,"Universal Consulting Services
3.3","Norfolk, VA","Fairfax, VA",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,$49K-$112K (Glassdoor est.),3.3,"Universal Consulting Services, Inc.
3.3","Norfolk, VA","Fairfax, VA",201 to 500 employees,IT Services,Information Technology,$25 to $50 million (USD)
Junior Data Analyst,$30K-$54K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$30K-$54K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$30K-$54K (Glassdoor est.),4.3,"University of Florida
4.3","Gainesville, FL","Gainesville, FL",10000+ employees,Colleges & Universities,Education,$1 to $2 billion (USD)
AvMed Data Governance Analyst,$30K-$54K (Glassdoor est.),3.1,"AvMed Health Plans
3.1","Gainesville, FL","Gainesville, FL",501 to 1000 employees,Insurance Carriers,Insurance,$500 million to $1 billion (USD)
Data Management Analyst II,$30K-$54K (Glassdoor est.),3.3,"Shands Jacksonville
3.3","Alachua, FL","Jacksonville, FL",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Analyst Junior,$30K-$54K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst â Junior,$30K-$54K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Gainesville, FL","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
IT Analyst III Data Systems,$30K-$54K (Glassdoor est.),3.3,"Shands Jacksonville
3.3","Gainesville, FL","Jacksonville, FL",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Product Data Analyst,$55K-$103K (Glassdoor est.),3.1,"Stamps.com
3.1","El Segundo, CA","El Segundo, CA",1001 to 5000 employees,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Lead Data Analyst,$55K-$103K (Glassdoor est.),3.6,"Headspace
3.6","Santa Monica, CA","Santa Monica, CA",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analytics Insights Analyst,$55K-$103K (Glassdoor est.),3.7,"Neustar
3.7","Los Angeles, CA","Sterling, VA",1001 to 5000 employees,Internet,Information Technology,$500 million to $1 billion (USD)
Data Analyst,$55K-$103K (Glassdoor est.),5,"Wellth Inc.
5.0","Los Angeles, CA","New York, NY",1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),-1,People Tree,"Hermosa Beach, CA","Hermosa Beach, CA",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Product Data & Insights Analyst,$55K-$103K (Glassdoor est.),3.3,"Ruggable
3.3","Gardena, CA","Los Angeles, CA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Survey Data Analyst,$55K-$103K (Glassdoor est.),5,"First Professional Services
5.0","Los Angeles, CA","Piscataway, NJ",51 to 200 employees,Internet,Information Technology,$1 to $5 million (USD)
Senior Data Analyst,$55K-$103K (Glassdoor est.),3.6,"Steady
3.6","Los Angeles, CA","Atlanta, GA",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),4.3,"ConsultNet, LLC
4.3","Burbank, CA","South Jordan, UT",201 to 500 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),4.3,"Signal Sciences
4.3","Los Angeles, CA","Culver City, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data and Policy Analyst - Statistical Programmer,$55K-$103K (Glassdoor est.),3.2,"Acumen
3.2","Los Angeles, CA","Burlingame, CA",201 to 500 employees,Federal Agencies,Government,$10 to $25 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),4.5,"HireTalent
4.5","Los Angeles, CA","New York, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
"Senior Data Analyst, Marketing",$55K-$103K (Glassdoor est.),4.3,"Dave
4.3","Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),-1,Expertise LLC,"Los Angeles, CA","Seattle, WA",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","Los Angeles, CA","Plainsboro, NJ",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),-1,Eleven Recruiting - CHURN,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),3.6,"ICONMA
3.6","Culver City, CA","Troy, MI",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),3.5,"HITRECORD
3.5","Los Angeles, CA","Van Nuys, CA",1 to 50 employees,-1,-1,Less than $1 million (USD)
Data Analyst,$55K-$103K (Glassdoor est.),5,"Dot818
5.0","Glendale, CA","Glendale, CA",1 to 50 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),3.4,"DatamanUSA
3.4","Los Angeles, CA","Centennial, CO",51 to 200 employees,IT Services,Information Technology,$5 to $10 million (USD)
Senior Database Analyst - Data Warehouse,$55K-$103K (Glassdoor est.),3.9,"Cedars-Sinai
3.9","Los Angeles, CA","Los Angeles, CA",10000+ employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Data Analyst,$55K-$103K (Glassdoor est.),-1,Eleven Recruiting - CHURN,"Los Angeles, CA",-1,-1,-1,-1,-1
Data Analyst,$55K-$103K (Glassdoor est.),3.5,"Robert Half
3.5","El Segundo, CA","Menlo Park, CA",10000+ employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Analyst – Finance,$55K-$103K (Glassdoor est.),3.2,"Radiology Partners
3.2","El Segundo, CA","El Segundo, CA",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),4.7,"PeerStreet
4.7","El Segundo, CA","El Segundo, CA",51 to 200 employees,Real Estate,Real Estate,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),4.7,"PlayQ
4.7","Santa Monica, CA","Santa Monica, CA",51 to 200 employees,Video Games,Media,Unknown / Non-Applicable
Data Analyst,$55K-$103K (Glassdoor est.),4,"Lucky Day
4.0","Los Angeles, CA","Los Angeles, CA",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
Data and Reporting Analyst,$55K-$103K (Glassdoor est.),3.4,"Didi Hirsch Mental Health Services
3.4","Inglewood, CA","Culver City, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
